id,value,team
3086,Paul Watson,SA
3087,Jeff Coby,NY
3088,Isaac Humphries,ORL
3089,D.J. Hogg,PHI
3090,Donte Ingram,DAL
3091,Brandon Austin,SAC
3092,Brandon Sampson,CHI
3093,C.J. Anderson,ATL
3094,John Petrucelli,ORL
3095,Raphiael Putney,MIA
3096,Angel Rodriguez,HOU
3097,Tim Bond,HOU
3098,Demetrius Denzel-Dyson,IND
3099,Haywood Highsmith,PHO
3100,Stephan Hicks,IND
3101,Jordan Sibert,ATL
3102,Dairis Bertans,NO
3103,Cody Demps,SAC
3104,Dusty Hannahs,GS
3105,Jemerrio Jones,LAL
3106,Billy Garrett,NY
3107,Tarik Phillip,WAS
3108,Daniel Gafford,DAL
3109,Coby White,CHA
3110,RJ Barrett,TOR
3111,Kyle Guy,MIA
3112,Dylan Windler,ATL
3113,Darius Garland,LAC
3114,KZ Okpala,SAC
3115,Jarrell Brantley,UTH
3116,Jordan Poole,NO
3117,Eric Paschall,MIN
3118,Miye Oni,MEM
3119,Ty Jerome,MEM
